,10_Otago_00001 10_otago.,10_Otago_00002 10_otago.,10_Otago_00003 10_otago.,10_Otago_00004 10_otago.,11_Iceland_00001 11_iceland.,11_Iceland_00002 11_iceland.,11_Iceland_00003 11_iceland.,11_Iceland_00004 11_iceland.,15_Oxia_Sophia_00001 15_oxia_sophia.,15_Oxia_Sophia_00002 15_oxia_sophia.,15_Oxia_Sophia_00003 15_oxia_sophia.,15_Oxia_Sophia_00004 15_oxia_sophia.,2_Atacama_Red_00001 2_atacama_red.,2_Atacama_Red_00002 2_atacama_red.,2_Atacama_Red_00003 2_atacama_red.,2_Atacama_Red_00004 2_atacama_red.,3_Sabtha_00001 3_sabtha.,3_Sabtha_00002 3_sabtha.,3_Sabtha_00003 3_sabtha.,3_Sabtha_00004 3_sabtha.,4_Watchet_Bay_00001 4_watchet_bay.,4_Watchet_Bay_00002 4_watchet_bay.,4_Watchet_Bay_00003 4_watchet_bay.,4_Watchet_Bay_00004 4_watchet_bay.,4_Watchet_Bay_00005 4_watchet_bay.,4_Watchet_Bay_00006 4_watchet_bay.,5_Granby_00001 5_granby.,5_Granby_00002 5_granby.,5_Granby_00003 5_granby.,5_Granby_00004 5_granby.,6_Hydrothermal_Clay_00001 6_hydrothermal_clay.,6_Hydrothermal_Clay_00002 6_hydrothermal_clay.,6_Hydrothermal_Clay_00003 6_hydrothermal_clay.,6_Hydrothermal_Clay_00004 6_hydrothermal_clay.,7_Oxia_Teresa_00001 7_oxia_teresa.,7_Oxia_Teresa_00002 7_oxia_teresa.,7_Oxia_Teresa_00003 7_oxia_teresa.,7_Oxia_Teresa_00004 7_oxia_teresa.,8_Mudstone_00001 8_mudstone.,8_Mudstone_00002 8_mudstone.,8_Mudstone_00003 8_mudstone.,8_Mudstone_00004 8_mudstone.,9_Congo_00001 9_congo.,9_Congo_00002 9_congo.,9_Congo_00003 9_congo.,9_Congo_00004 9_congo.,00001 Standard.,00002 Standard.,00003 Standard.,Standard_retest_00001 Standard_retest.,Standard_retest_00002 Standard_retest.,Standard_retest_00003 Standard_retest.
1938.35679058,0.7793267736385583,0.7302031708475222,0.777839844196887,0.7266759529550694,0.911729934050184,0.9757058216356346,0.9496563724845908,0.9427571262778944,0.9091289233551478,0.8936864369450839,0.893512051285561,0.9052407106750193,0.8356842453647763,0.8387516851303894,0.8456610268566337,0.8850021066968611,0.6696503812766016,0.7068032741698022,0.6990004331341333,0.584390080012831,0.7255798476315335,0.7752682048534416,0.6023167774343801,0.7867379921410963,0.8008616180141711,0.6495852648647402,0.6892751538709029,0.7305204156223315,0.6302743937680858,0.717821675907543,0.7534757658556855,0.7250420213226291,0.7692619596642478,0.7628216583708823,0.9172891470079592,0.9071830771222158,0.9013283823263283,0.8948518810161451,0.9184336771922226,0.9066861679026612,0.896736212387436,0.935596180932569,0.9179767338893982,0.9449728184220164,0.9023828279582605,0.89863308885251,0.9998654753255286,0.999953840130862,0.9756597798797926,0.9993952878568971,0.9988031091610132,0.9987698068922727
1947.18286652,0.7903412079659966,0.7440421717180152,0.7900172283518625,0.7359301022633836,0.9092211060644421,0.9752281874058387,0.9540607977984672,0.9421451545647921,0.9126929177344378,0.8970211056407823,0.897637424607351,0.9090023591984876,0.8388498339574294,0.8417288869828788,0.8477737210861738,0.8855185994904866,0.6672821785211888,0.7033450279187459,0.6965092545907274,0.5811540182475683,0.7262023743101856,0.7740322186892324,0.6009650345582871,0.7865610480119065,0.8012627323457623,0.6482567326929339,0.7061547202437513,0.7435971648662838,0.6525954214432083,0.7314766572977943,0.7664764472492954,0.7355519635485902,0.7854829008362291,0.7784417932208155,0.9200755715780811,0.9105519939832035,0.9044488403775864,0.898451990513905,0.9258172016251355,0.9141288507663886,0.9038511383012027,0.9406799578025433,0.9231798730866617,0.9509536665665799,0.9101601967158823,0.9055545698331335,0.9995006701683603,1.0,0.9753285020547832,0.9990511756340781,0.9986708632313435,0.998462526806363
1956.02731804,0.8020764533876512,0.7582838844063855,0.8016698222350092,0.7473963799265739,0.9083363402719353,0.9745902834226093,0.9605421136986364,0.9423952801767128,0.9160248140996636,0.9021956240364327,0.9026765351004193,0.9129734002866465,0.8458156684546121,0.8518755635615465,0.8549986782555931,0.8914865066037704,0.6687319865171164,0.706145337828605,0.7023286320573938,0.581540165098468,0.7394976804295547,0.787322861141521,0.6164682197750718,0.7966170971340464,0.8133286979721398,0.6630401346261398,0.7228110743898255,0.7566410574444048,0.6745203506357265,0.7458324071996025,0.7794134240341947,0.7475153311007373,0.8030633281965303,0.7923505751087261,0.9234890718260806,0.9152170501564747,0.9083770909878307,0.9022816793979873,0.932146305309363,0.9217460579157291,0.9111569482802524,0.9447820133862844,0.9282987909044065,0.9561825343896777,0.916003016645755,0.911383089719971,0.999729537918435,1.0,0.9746659708148104,0.9993272937017221,0.9993925763623389,0.9991200923180136
1964.89009294,0.814295389501871,0.7732982302839904,0.8148546390973193,0.76064808476917,0.9084595466727553,0.9746318793385428,0.9668881507254425,0.9449745050695056,0.920745637080799,0.9073923914768232,0.908122705228966,0.916987985914465,0.8533269333239649,0.8630271214689986,0.8643791741273869,0.8976009412596841,0.6721138374611247,0.7135361819288831,0.7120059577718693,0.5848372556821149,0.7569698438861652,0.8056985966212046,0.6399619311442385,0.8119821819419067,0.8291055319540882,0.6843310421788034,0.7398062034597864,0.7701015749936645,0.6976588825418162,0.7609202179842348,0.7935052065432374,0.7613956199260701,0.8212239224843205,0.8080700973770255,0.9284912829993802,0.9211735647456422,0.9135947610806812,0.9071107893896113,0.9385701424193367,0.9294462369439344,0.9195793399576566,0.9497610581291043,0.9335882980439393,0.9625905922952337,0.9240361359592042,0.9196371457738517,0.9998127505720716,1.0,0.9760533738145899,0.9994504127122559,0.9993619980775502,0.9998435746423597
1973.77113898,0.827953564946525,0.7885561443171498,0.828242051894268,0.7744224837010457,0.9088949856854731,0.9745699837346796,0.9730016881958408,0.9464317430464833,0.9247573542813183,0.9138764993411971,0.9133028093430182,0.9229306966209236,0.8614788294217499,0.8725942352273205,0.8727488771676671,0.9041173202615216,0.6758413652857088,0.7220735535755876,0.7240449392738171,0.5899421237176149,0.7748273327656019,0.822247951255888,0.6632016261261496,0.82614112825241,0.8437747283205724,0.7049917455289977,0.7591153472594071,0.7860795812606984,0.7209889756224843,0.7758782500171595,0.8084065180405788,0.7769896636515952,0.8410165420760993,0.8234644064320495,0.9338546637165144,0.9270465295312058,0.9205358644550864,0.9130168992471223,0.9463934657798905,0.9380731107782442,0.9305076058063667,0.9542623633653623,0.9387901537577784,0.9684571625047758,0.9314234874614733,0.9269652894275962,0.9999720151364264,1.0,0.9769521961510165,0.9998315277937276,0.9992523614992,0.99922097546074
1982.67040395,0.8431508148663815,0.8051981772905794,0.843568765417733,0.7891326065531018,0.9090389045918694,0.9746198845451014,0.9781409733297829,0.9485753742302019,0.9313097105516491,0.9221987523070998,0.920332183387775,0.9290995235690535,0.8697419958643465,0.8829494506125777,0.8815140690663961,0.9113363528935875,0.681046359762158,0.7351892709997684,0.7398823159877804,0.5986918477214348,0.7950713238410516,0.8410372016586873,0.6909962745230017,0.8425245694541922,0.8605154007325511,0.7313368334316985,0.7799179828059964,0.8027328718441339,0.7460196167770151,0.7919213271153885,0.8240029141392021,0.7951850350655707,0.860855066134011,0.8392679390593373,0.9398687040828421,0.9340061383617836,0.92721926955967,0.920667508404602,0.9541211225532275,0.946508684118228,0.9409309819144039,0.95956905223871,0.9436696414711937,0.9749914387910064,0.9392873825144693,0.9344236532471217,0.9998833660477144,1.0,0.977996165395578,0.9989412689110105,0.9988100605077079,0.9988551671387587
1991.57932378,0.8589923777909507,0.8222020195065407,0.8599288855407646,0.8052683239342407,0.9107599424654197,0.9747706982938278,0.9832799662116798,0.9514930216251353,0.9378127496012713,0.930514844201715,0.9275023563866348,0.9362898277354015,0.8794269484284636,0.8948898971696602,0.8921865931204249,0.9196887180866807,0.6898831897449511,0.7534666471888921,0.7630388732462454,0.6119342113126068,0.8217769470792367,0.8661741233557367,0.7303064357090159,0.863928344375979,0.8828551327183148,0.7681048590280479,0.8006801757595051,0.821861224271546,0.7698131005109113,0.811028239509866,0.8401185408632633,0.815142998201433,0.8810762170278711,0.8551705376021437,0.945762707451641,0.9425287687060926,0.9352537796892901,0.9284427466092902,0.9623299165485295,0.9554543376826803,0.9507063475909306,0.9662782953323944,0.9511556071297996,0.9818747049661671,0.9467257358453608,0.9424184970502776,0.9995845694015549,1.0,0.9794146396420137,0.9987993326502572,0.9989375207756973,0.9989813914767799
2000.48893957,0.874775341675743,0.8404881267554555,0.8773217173913381,0.8214753088098664,0.9121857235978402,0.9753632468265289,0.9887434171608218,0.9537337396943273,0.9449620161985588,0.9396570333819102,0.9339872570979071,0.9442646429380664,0.8896051195667576,0.9073780706300245,0.9032313474019958,0.92897323446163,0.7015928603984753,0.7773332919569951,0.7928036598428919,0.6300310302686631,0.8552004942343092,0.8956703716492209,0.7799202038548814,0.8908845521585547,0.9068164027818427,0.8139102574829341,0.822647040692205,0.8414539291325778,0.7938550343745954,0.8292978720885428,0.8561865479096958,0.8349554653850721,0.8981009773085173,0.8719586855969356,0.9519609390273817,0.9492897912765623,0.9445497293783454,0.93679749300298,0.9691999882537453,0.9641452075694785,0.9604067796359033,0.9721707324128306,0.9584034166615885,0.9858004528068841,0.9536633369587834,0.9504379290894387,0.9997479439286627,1.0,0.9809726171021125,1.0,0.9993530348649888,0.9988651446715086
2009.39924527,0.8909325758375429,0.8598470581203298,0.8946597382096464,0.8384258430821894,0.9125957481241193,0.9753728576023202,0.9917222601859399,0.9561772051836787,0.951702221718455,0.9487747717877295,0.9416658606454783,0.9527549342984658,0.899523686999928,0.9187737650653536,0.9134575380259472,0.9370088031219626,0.713480688016311,0.8030996517328253,0.8260041074949223,0.650124695333766,0.8877620383273824,0.9240979697821844,0.8302636387278156,0.9170897905060054,0.9316596479183608,0.8582176592606795,0.8437579262506962,0.8600507191149662,0.8175306119214572,0.846892826332387,0.8705756825380543,0.855299637712095,0.9154067258475594,0.8885249073413102,0.9586461277449002,0.9574666475756803,0.9506790931154754,0.9436140400068034,0.9747875770686426,0.9715500726294006,0.9686640317565469,0.9782508178313374,0.9652009806417704,0.9910337571891039,0.9605474177936218,0.9593008298704393,0.9989497279684089,1.0,0.9821240775990999,0.9989671520197186,0.9990917891349621,0.9997902589866093
2018.31023493,0.9086244713373184,0.8788745463646216,0.9121450592877405,0.8541998801020936,0.914368552068504,0.975470709813646,0.9940216686426602,0.957810873154896,0.958754197274781,0.9560576921833234,0.9479582894802926,0.9594542219312513,0.9080773588207582,0.9303087167029698,0.9237026669158138,0.9447043128793231,0.7261248696629279,0.8273389526342567,0.8570672694744175,0.6713687598233238,0.914812788949532,0.9449915321636353,0.8707339125000172,0.9384575511331499,0.9484205147117185,0.8947576509355549,0.8633983991964204,0.878480263406732,0.8408452323874253,0.8660412402839232,0.8863332486922382,0.8740962121215249,0.9311425535661809,0.9045689545244789,0.9644402611644205,0.9640406372037655,0.9591755759425746,0.9508905303369264,0.9832804144794286,0.9792127015168808,0.9762911763001041,0.9856702769400485,0.9743957779521616,0.9950973026253874,0.96909744004568,0.967864918655983,1.0,1.0,0.9841852767535241,0.9991764824473782,0.9994247353854285,0.9990871065874166
2027.22190266,0.9231990464530792,0.8967313180782813,0.9286561042497156,0.8680165564665692,0.9147746561144466,0.9758057718069327,0.9982116997352621,0.959363054671171,0.96619552300983,0.9640754953581139,0.9558980573332116,0.9669378284312004,0.9158891289038502,0.9389479346697326,0.9330143367073828,0.9520517565537785,0.73959781655143,0.8503786699216631,0.8843342015292692,0.6920664253341721,0.9370818357091948,0.9603842533868752,0.9040141233102001,0.9555716950206463,0.9640964929477474,0.9233363873939417,0.8824469429951706,0.8964212611613007,0.8628237057986728,0.8844110236196073,0.9009396279998402,0.8921874548785665,0.9444196420234031,0.9207877353880165,0.9706490634852207,0.9704723148669236,0.9648219733724965,0.9574121275393835,0.9874434426614651,0.9851978269490137,0.9831631795479223,0.9902927601992305,0.980942673692245,0.9969117867261938,0.9772097042220359,0.9748569554787796,0.9994643181665254,0.9993440917687604,0.9858616735200137,0.999501850040956,0.9989780695697881,0.9994332567957563
2036.13424266,0.9377801973840971,0.9131056234777096,0.9429995282766831,0.8803537831485461,0.9165356652446504,0.9761845983617801,1.0,0.9613763409241771,0.9715189354065553,0.9709701902806608,0.9618474255186744,0.9718923611312479,0.924063109988489,0.9482485183152681,0.9412424761721065,0.9589260808729415,0.7523813094370757,0.8709289309059248,0.9074445113378474,0.7111617793483347,0.9550547117819346,0.9736350065813758,0.9313160471745668,0.9692556088068343,0.97487028595282,0.9454396932655401,0.8992676489884736,0.9134061349097075,0.8824294174889177,0.9006001735658673,0.9147147381543275,0.9087425270833999,0.9546211032991745,0.9349060436968889,0.9758393310784128,0.9756519526242512,0.9697518765791519,0.962588845324649,0.9942924720901215,0.9912961955244166,0.9895921118547052,0.9941005621693164,0.9882921204495269,0.9998806460932379,0.9852927350635898,0.981647498252649,0.9996929033921887,1.0,0.9879621110078086,0.9993323448937929,0.999994007615324,0.9992500511671061
2045.04724919,0.951817755954424,0.9273998350165624,0.9548928238295831,0.8902311246120953,0.9167146085034806,0.9764431006792228,1.0,0.961001648881582,0.9767699971050797,0.9764261463955793,0.9680023648564103,0.9768205225510249,0.9310000022940678,0.9546035152411995,0.9485744036506515,0.9647919275255075,0.7635912104841827,0.888969340588522,0.9269256489790532,0.7276338053002247,0.9690195064978602,0.9830691374369233,0.9527562983575613,0.9794445033485436,0.9839553975755634,0.9629055669542419,0.9132910207405284,0.9263980874256802,0.9012319638631759,0.9147131026565729,0.9272126011951195,0.9230372746848143,0.9641968925010875,0.9486822711757588,0.9813586638654156,0.980393248279354,0.9746976577194235,0.9680506326242755,0.9987417142205026,0.9938432286723973,0.9944692278059384,0.9973408769307541,0.9930478336631731,1.0,0.991097923313394,0.9876751142134652,0.9999999999999998,0.9999709302425156,0.9896515050723228,0.9995078763256061,0.9989353083832443,0.9990331361999001
2053.96130725,0.9612595946612451,0.9400815549281425,0.9653421177578467,0.899202448503148,0.9163195917342772,0.9769401198473506,0.9997855074002966,0.9588460490113958,0.9808948543529525,0.9810001365790297,0.9731363498009918,0.9808469720843382,0.936284703533939,0.9600011542952448,0.9558245937706255,0.970064448948092,0.7729108021879495,0.9033861005944461,0.9420486661356752,0.742160166446141,0.980506950006074,0.9903245171439097,0.9691300586974414,0.9865846863105622,0.990797665018298,0.9756355750753026,0.9281349084653918,0.9394877963640088,0.9181156832966849,0.9276886206762183,0.9385707378184989,0.9353636503394263,0.9710776847338982,0.9589004705854143,0.9843582019159869,0.9823893657745417,0.9775090191036963,0.9722549577114162,1.0,0.9978124801432027,0.9976647598205243,0.9980221106757133,0.9961691901699259,1.0,0.9935005861063735,0.9921637089481027,0.9998249227003316,0.9999894023657372,0.9914868074089174,0.9991661631554134,0.9990441259577882,1.0
2062.87694233,0.9694483579478336,0.9510283315614558,0.973005858245153,0.9059068452643866,0.9168626112759609,0.976014167844843,0.99935445242184,0.9564296735882122,0.984174610016562,0.9844636342203797,0.9777028570802109,0.9832896903540476,0.941607568929632,0.9648993821263003,0.9619007837255916,0.9739023983148282,0.7809726377124734,0.9157495224013226,0.9553091164470846,0.7551290588489602,0.9881384470305515,0.9936295689889797,0.9790575597059071,0.9917803463164672,0.9944756757834795,0.9853044773944413,0.940662276693617,0.9506057477038217,0.9344957698420007,0.9405567295821677,0.9488883617692591,0.9450698281039805,0.9771415838211048,0.9677959301331058,0.9869666824090909,0.9859183673487845,0.9813568279712285,0.9751565350031457,1.0,0.9991689315250971,0.9996338709593497,1.0,0.99837158712574,1.0,0.9957574099808187,0.9956464650801584,0.9999999999999998,1.0,0.9924452365350465,0.9988475543022576,0.9986583921568672,0.9995303645098628
2071.79414164,0.977762034553707,0.9612206533151451,0.9809237046761727,0.9094349591617139,0.9181285333801421,0.9762663355921608,0.9995202211280322,0.9534947951075041,0.9876213414699448,0.9879716530970156,0.9826175546671234,0.9867094284106228,0.9475550926906031,0.968069903964528,0.9662962424589956,0.9774333608779433,0.7884165435134158,0.9263692885982754,0.9653211778540399,0.7666864734593503,0.9935629676752131,0.9969341571741792,0.9885893408955883,0.9958667703990436,0.9980609966366351,0.9928220257862466,0.9528573013816657,0.9606612967400356,0.9478319022318387,0.9517974576824852,0.9590598012358865,0.9538017880422058,0.9830294941573563,0.9748694068249404,0.9901035090437583,0.9891192998004172,0.9838813151169787,0.9788383483271248,1.0,1.0,0.9996643045619713,0.999811334066864,1.0,1.0,0.9977349626628885,0.9983305327893599,0.9996046832543475,0.998939336472203,0.9934476240904165,0.9989996679584302,0.9994456338381328,0.9994504474072438
2080.71289251,0.9850388585278747,0.9695996390022242,0.9865574956908134,0.9144047171347284,0.9176525934834482,0.9773625126691592,0.9997069430422586,0.9499854054836404,0.9895661821934594,0.9903190814846021,0.9856596004413457,0.9897273214997103,0.9522964527869248,0.9737722143004572,0.9717400013029728,0.9812387816306313,0.7963798989308533,0.9366022204190924,0.9754640859582172,0.7781953329085644,0.9979705378047218,0.9997019507381242,0.9953383783401303,0.9986862520038164,1.0,0.9983068199534622,0.9638675606283315,0.9697978048970944,0.9614778065999249,0.962876724822313,0.9680638808196923,0.9631094091099417,0.9868330842551232,0.9812662540991867,0.9915523709563878,0.9908299234175761,0.9871545928784465,0.9822047358115163,1.0,1.0,1.0,1.0,0.9993345313469498,0.9999660476492039,0.9997371298250937,1.0,0.9999999999999998,0.9997466415856818,0.9940408873761643,0.9989109379628233,0.999811867144221,1.0
2089.63318245,0.990734444416477,0.9766959958115776,0.992384220085006,0.9196333657472525,0.9178658493462383,0.9770574201453243,0.9989540760799234,0.9482890866931603,0.9924695441155132,0.9919761713018842,0.9882512759599331,0.9919457773062015,0.956352260405591,0.9792394163967961,0.9761252955725722,0.9847946403668421,0.8027092086536659,0.945295101035838,0.9833359918813321,0.7866595599726157,0.9994039358735832,1.0,1.0,1.0,1.0,1.0,0.9718153018968789,0.9767277535105281,0.9727513597026536,0.973623793615799,0.975901926449983,0.9707276044849535,0.9898653084852427,0.9850398865828541,0.9941768752782586,0.9927645963558391,0.9892272881596818,0.9854371268663367,1.0,1.0,1.0,1.0,0.9995785708572106,0.9988294789132499,1.0,1.0,0.9999999999999998,1.0,0.9953476955211135,0.9977007526391278,1.0,0.99925622885884
2098.55499911,0.9947360883463444,0.9837353813728561,0.9961773884346667,0.9253599569217978,0.9187977794181771,0.9757726684724367,1.0,0.9455608201785861,0.993904944630429,0.9938403552683406,0.9908996377494752,0.9937630975623534,0.9623492125922036,0.9835268983818432,0.981147094868822,0.9881116495644179,0.8084260031318949,0.9522162156270492,0.9883277012068535,0.7931473417269531,1.0,1.0,1.0,1.0,0.9998270766550839,1.0,0.9815068970469255,0.9835041642893038,0.9808901565823287,0.9828299642538082,0.9830315925290902,0.978454379862858,0.993262544876062,0.9890812476689484,0.9968798378620491,0.9940778425720433,0.9912859033616026,0.9882760901688484,1.0,1.0,1.0,1.0,1.0,0.9980937548444379,0.9976442692474979,1.0,0.9995285800643536,0.9998113770972736,0.9971784528227984,0.9981444411626718,0.9984705012859089,0.9991417735980992
2107.47833028,0.9986741129850698,0.9906842870249212,0.9989135173827427,0.9308185445482803,0.919723742859246,0.9755345293980913,0.9997941498620934,0.944414122739051,0.9956716811920003,0.9956127997132677,0.9940276276036987,0.996024955758168,0.9678930075235104,0.9873688917665879,0.9860820791340077,0.9909321149340755,0.8121772592599624,0.9553399696903809,0.9928921351445665,0.7993577507747167,1.0,1.0,1.0,0.999997258975922,1.0,1.0,0.9887699677839045,0.9869678506157032,0.9883310783614626,0.989348576785374,0.9899651939626996,0.9858885175442502,0.9958453347439082,0.9929584155011297,0.9989466644145791,0.9974299277459214,0.9938488434752557,0.9915755660896378,1.0,1.0,1.0,1.0,0.9993390642252262,0.998283250020677,0.9970360935424353,0.9993992045532093,0.9999999999999998,0.9995914733092058,0.997431967891467,0.9988541685352534,0.9995201066831798,0.9987878038374958
2116.41133382,0.9996694400322317,0.9944710316496953,1.0,0.9367461638669746,0.9208018610134027,0.9731182958122044,1.0,0.9441156947155572,0.9983956614097448,0.9981893522781636,0.9966647027139123,0.9980589118266666,0.9724928671468118,0.9910239267139224,0.9900127814818961,0.99376685317427,0.8151788381875308,0.9581386510559786,0.9953847155410056,0.8046370736180255,0.9999895460898566,0.9997202244536803,1.0,1.0,1.0,0.9979677617769943,0.9939284296555753,0.9912653774710215,0.9949661140579443,0.9956585386636637,0.99507891078004,0.9919182833258773,0.9989556348835927,0.9973140098557344,0.999618710998879,0.9983911251729881,0.9960946170869343,0.9954303409273597,1.0,0.999901611256325,0.999672822614633,1.0,0.9988455291865007,0.9986098955647871,0.9971581664113645,0.998802869925243,0.9999999999999998,1.0,0.9992980723430348,0.9987511170090938,0.999143916545602,0.9986696586968625
2125.37093026,1.0,0.999273178695888,1.0,0.944413400924681,0.9218113518698319,0.9713339271040629,0.9995270531295627,0.9430047453288444,1.0,0.9991728010847595,0.9994388314168696,0.9996406282983127,0.9770961905871305,0.9956757792113549,0.9939394575069037,0.9969438714129203,0.8177536879691398,0.9606758143408319,0.9979522477686328,0.8102228238468341,1.0,1.0,0.9986507349052233,1.0,1.0,0.997807736392883,0.9984348673397824,0.9957723450844083,0.9995840909385975,1.0,0.9994093135117429,0.9981025435308946,1.0,1.0,1.0,1.0,0.9985731186742646,0.9982391471485018,1.0,1.0,1.0,1.0,1.0,1.0,0.9996204415067109,0.9988046839009299,0.9999999999999998,1.0,1.0,0.9980225215613787,0.9987660913257272,0.9989902317524916
2134.35713173,1.0,1.0,1.0,0.9506517474597322,0.9223533011196582,0.9679505407180684,0.9982366432204591,0.9412405678163417,1.0,1.0,1.0,1.0,0.9792169513353676,0.9984839471148768,0.9971571079483919,0.9983047513815332,0.8187185388331976,0.9617167031543896,0.9984377044676416,0.8153889784202077,1.0,1.0,0.997230202918427,1.0,1.0,0.9963549173261872,1.0,0.9992851831043315,1.0,1.0,1.0,1.0,1.0,1.0,0.9997640168346179,1.0,1.0,1.0,0.997571111256166,0.9984368402857253,0.9984071631103566,0.9985039786516776,1.0,1.0,1.0,1.0,1.0,0.9996363621728587,1.0,0.9989415061740772,0.9986543375953687,0.9994910828493787
2143.36995005,1.0,1.0,1.0,0.9547223892216504,0.9206757107330843,0.9633328812476929,0.9964283013813668,0.9382838952070047,1.0,1.0,1.0,1.0,0.9834348795624136,1.0,0.9997330840894542,1.0,0.8201625942080366,0.9617672373201338,0.9981877549799341,0.8185035187599953,0.9990695576348713,0.9991210575070311,0.9932172552862398,0.9993396528360716,0.9994824752225103,0.9946131891302664,1.0,1.0,1.0,1.0,0.9984401378401221,0.9978420216712509,0.9974767132118995,0.99733771526991,1.0,1.0,1.0,1.0,0.9880230905706135,0.9896361069629093,0.9893705840325804,0.9917040623020718,1.0,1.0,1.0,1.0,0.9999999999999998,1.0,0.9993518449665892,0.998242930263336,0.9989224346506405,0.9993079659821087
2152.40939672,0.9938139798709316,0.9979297715630336,1.0,0.9557526205185648,0.9172569887657565,0.9563456133590094,0.9924852976560424,0.9337425443226073,1.0,1.0,1.0,1.0,0.9849521000689199,1.0,1.0,0.9999013746848521,0.8205754347940001,0.9601527132113203,0.9961960827770492,0.8210438051962557,0.9963183910595548,0.9956000041472158,0.987294469546651,0.9976769408544873,0.9978268839949723,0.9893945019799428,1.0,1.0,1.0,1.0,0.9900450021618534,0.9888480398489012,0.9860203297038465,0.9861571664483909,0.9988594687127482,1.0,1.0,1.0,0.9732730082227022,0.9749184456544592,0.9725279154811899,0.9803990424189343,0.9998277769529801,0.9988397997431863,1.0,1.0,0.9999999999999998,1.0,0.9978266879397368,0.9982495762979071,0.9994625464825875,0.9992513948927381
2161.47548295,0.9857777260489273,0.9943217715715561,0.9981425718355201,0.9548411417230587,0.9122435148493703,0.9499515740904471,0.9863735163381884,0.9283055474301065,1.0,0.9997747236922858,1.0,1.0,0.9835331950886721,0.9964979441428556,0.9964808113808721,0.9976638609212725,0.8202661824965807,0.9558411663220788,0.9934777212907442,0.8219226797804123,0.9905358759671671,0.9900801967476408,0.977999331404842,0.9910762439062419,0.9917890140420152,0.9804004633742779,1.0,0.9995731789255654,1.0,1.0,0.9732039105659263,0.9710521603359465,0.9680240644241235,0.9682202863712797,0.9968549639525882,0.9983702076751969,0.9976193781105318,0.9994261535612956,0.9577650229400693,0.9593346458279074,0.9561805465695604,0.9688051391662986,0.9951446397666062,0.9935002863142058,0.9952125790142614,0.9935190458335063,0.9998356774362309,1.0,0.9949785646084912,0.998379091212969,1.0,0.9996191425530063
2170.56821963,0.980012249238465,0.9893574289698471,0.9942977613049893,0.953602503697443,0.9057841018361563,0.9421939120254935,0.9808360773412832,0.9226663431819965,0.9993287461806774,0.9988001321243579,0.9986311768441877,0.9982055267336327,0.9826425619037961,0.992425482681276,0.9932104257811306,0.9937855230369265,0.8206032414552937,0.9513202718004536,0.9880919188507975,0.8224704660011319,0.9811731020944401,0.9841980771855191,0.9657931732797926,0.9842832939006052,0.985828453712745,0.9697337198957109,1.0,0.9971641519312474,1.0,0.9987094821285263,0.9532118154772046,0.9485325423597079,0.9455577274400013,0.9465522861216973,0.9951980701118299,0.9948450691543964,0.9948618402908481,0.9967608713864401,0.9453558931159406,0.9475269152059037,0.9459526150119943,0.9592985590371652,0.9855301854854955,0.9812076985623995,0.9824346892240892,0.9790631447457377,0.9998140512318018,1.0,0.9910444930601987,0.9985605021002396,0.9991239659819213,0.9997141809825725
2179.68761735,0.972845242877815,0.9828846784693671,0.9906428851032624,0.9478911126822566,0.8995081940972439,0.9360122945709547,0.9724019914757585,0.916881766056063,0.9981737354130723,0.9964723463628894,0.997914666148929,0.9973325675052835,0.9799579819010168,0.9892437241504305,0.9891428931697841,0.9906656036131163,0.8211950872178232,0.9472890650631137,0.9844511551984292,0.82526861909292,0.9707424126723978,0.9765897678645606,0.953551115659597,0.9762277356977733,0.9779995520461453,0.9578052380873702,0.997324218085931,0.9935875269080984,0.9990461838647805,0.9955291385607652,0.9324400315105879,0.9250878647068599,0.9222330850733033,0.9242728321780799,0.9914802403046045,0.9926498859107304,0.9915776202696241,0.9938278206217913,0.9355829406580475,0.9363986064912974,0.9361613083125395,0.9497625061461674,0.966547052856301,0.9627022067040841,0.95973517840525,0.9573263920884749,0.9999999999999998,1.0,0.9865919650932673,0.9991461304941571,0.9996553047215028,1.0
2188.8336864,0.9641882049135883,0.9733604161556272,0.9848248516848075,0.9387871572289872,0.8952751381537486,0.9304705282374994,0.9632857736891367,0.9121181401741115,0.9962118050231807,0.9963192394338822,0.9961895699877416,0.996619048622615,0.9770593250516895,0.9853944345204204,0.9863399873218732,0.986716901259081,0.8208806478505418,0.9448519759996762,0.9806891574384764,0.827108864032895,0.9590570981595752,0.9686662780037182,0.9413838372460064,0.9671673483080343,0.9704316015698635,0.9466245015297714,0.9937732293350706,0.9912883960375087,0.9935869722145163,0.994865637523191,0.9140423168287314,0.9049337570128234,0.9009193185960266,0.9054529199419671,0.9901778284475317,0.9901586621871993,0.9882411977677145,0.9923345672441494,0.922516466351593,0.9230590247217334,0.9224010175037751,0.9388570492376304,0.9407485704132623,0.9358994522712168,0.930010445836224,0.9295579795400316,0.9999999999999998,1.0,0.9833295266415782,1.0,0.9995483061552679,0.999923326639049
